FACILITY,ADDRESS,LAST INSPECTED,VIOLATIONS,TOTAL # CRITICAL VIOLATIONS,TOTAL #CRIT.  NOT CORRECTED ,TOTAL # NONCRITICAL VIOLATIONS,DESCRIPTION, LOCAL HEALTH DEPARTMENT,COUNTY,FACILITY ADDRESS,CITY,ZIP CODE,NYSDOH GAZETTEER (1980),MUNICIPALITY,OPERATION NAME,PERMIT EXPIRATION DATE,PERMITTED  (D/B/A),PERMITTED  CORP. NAME,PERM. OPERATOR LAST NAME,PERM. OPERATOR FIRST NAME,NYS HEALTH OPERATION ID,INSPECTION TYPE,INSPECTOR ID,INSPECTION COMMENTS,FOOD SERVICE FACILITY STATE,Location1
Palace Music Studio                 ,"2743 Erie Boulevard East,  Syracuse",03/30/2016,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; ",0,0,2,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,2743 Erie Boulevard East  ,Syracuse,13224    ,330100,SYRACUSE,Palace Music Studio,01/31/2017,,"Han's Music City, Inc.",Han,Hyo Soo,762563,Inspection,,,NY,"(43.054811, -76.095953)"
Dunbar American Legion Post #1642   ,"119 Dell STREET,  Syracuse",06/19/2015,"Item  2A-  Critical Violation [RED] Prepared food products contact equipment or work surfaces which have had prior contact with raw foods and where washing and sanitizing of the food contact surface has not occurred to prevent contamination; Item  8F-   Improper thawing procedures used; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,6,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,119 Dell STREET,Syracuse,13210    ,330100,SYRACUSE,Dunbar American Legion Post #1642,01/31/2017,,Dunbar American Legion Post #1642,Martin,Richard,293719,Inspection,,,NY,"(43.041933, -76.120439)"
Gem (The)                           ,"832 Spencer STREET,  Syracuse",06/30/2015,Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8F-   Improper thawing procedures used; ,1,0,1,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,832 Spencer STREET,Syracuse,13204    ,330100,SYRACUSE,Gem (The),01/31/2017,,"TDL, Inc.",LaLong,Douglas,769055,Re-Inspection,,Reinspection on this date revealed that majority of violations from 6/9/15 inspection have been corrected.  Above violations were noted.  Recommend to abate.   Co-inspected with Kim Moran.,NY,"(43.057318, -76.172601)"
Pizza Hut 575                       ,"4738 Onondaga BOULEVARD,  Syracuse",02/18/2016,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,4738 Onondaga BOULEVARD,Syracuse,13219    ,335600,GEDDES,Pizza Hut 575,01/31/2017,,"V & J National & United Enterprises, LLC",Woods,Marcia,294302,Re-Inspection,,All violations from inspection conducted on 1/27/16 has been corrected recommend abatement.,NY,"(43.032724, -76.192327)"
Franklin School                     ,"428 SOUTH ALVORD STREET,  SYRACUSE",05/20/2016,"Item 11D-   Non food contact surfaces of equipment not clean; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,428 SOUTH ALVORD STREET,SYRACUSE,13208    ,330100,SYRACUSE,Franklin School,12/31/2016,,Syracuse City School District,Warner,Ken,466877,Inspection,,,NY,"(43.062371, -76.146488)"
PEACE Inc Sr Nutrition @ Eastwood Se,"401 SOUTH Midler AVENUE,  Syracuse",03/08/2016,No violations found.,0,0,0,SOFA Food Service - SOFA Satellite Site -State Office for the Aging,Onondaga County,ONONDAGA,401 SOUTH Midler AVENUE,Syracuse,13206    ,330100,SYRACUSE,PEACE Inc Sr. Nutritition @ Eastwood Senior Center,01/31/2017,,"P.E.A.C.E., Inc. Senior Nutrition Program",O'Hara,Joseph ,437046,Inspection,,Conditions satisfactory at this time.,NY,"(43.061827, -76.104409)"
Chorong House                       ,"1121 EAST Fayette STREET,  Syracuse",01/20/2016,"Item  5B-  Critical Violation [RED] Potentially hazardous foods are not cooled by an approved method where the food temperature can be reduced from 120oF to 70oF or less within two hours and 70oF to 45oF within four hours.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; ",1,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,1121 EAST Fayette STREET,Syracuse,13210    ,330100,SYRACUSE,Chorong House,01/31/2017,,,Park,Young Hee,540478,Inspection,,Co inspected with Kim Moran.,NY,"(43.048498, -76.13377)"
Domino's Pizza                      ,"3548 WEST Genesee STREET,  Syracuse",01/22/2016,"Item  4A-  Critical Violation [RED] Toxic chemicals are improperly labeled, stored or used so that contamination of food can occur.; Item  8D-   Single service items reused, improperly stored, dispensed, not used when required; Item  9C-   Hair is improperly restrained; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15C-   Premises littered, unnecessary equipment and article present, living quarters no completely separated for food service operations, live animals, birds and pets not excluded; ",1,0,7,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,3548 WEST Genesee STREET,Syracuse,13219    ,335000,CAMILLUS,Domino's Pizza,01/31/2017,,"Team Camillus, Inc.",Lee,Michael,589759,Inspection,,Establishment has probe/metal-stem type thermometer onsite as required.  (Add email to ehips teamcamillus@gmail.com),NY,"(43.047834, -76.234987)"
Western Ranch Motor Inn             ,"1255 STATE FAIR BOULEVARD,  SYRACUSE",03/17/2015,"Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,4,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1255 STATE FAIR BOULEVARD,SYRACUSE,13209    ,335600,GEDDES,Western Ranch Motor Inn,12/31/2016,,Western Ranch Motor Inn,Gaworecki,Walter,527636,Inspection,,,NY,"(43.107855, -76.257881)"
Christian Brothers Academy          ,"6245  RANDALL ROAD,  SYRACUSE",03/21/2016,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,3,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,6245  RANDALL ROAD,SYRACUSE,13214    ,335300,DEWITT,Christian Brothers Academy,12/31/2017,,American Food & Vending Corp.,Fiacco,Thomas,466831,Inspection,,,NY,"(43.03983, -76.07177)"
Eastwood American Legion Post 1276  ,"102 Nichols AVENUE,  Syracuse",02/08/2016,"Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,2,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,102 Nichols AVENUE,Syracuse,13206    ,330100,SYRACUSE,Eastwood American Legion Post 1276,01/31/2017,,Eastwood American Legion Post 1276,Baber,Nate,292630,Inspection,,Routine inspection this date.  Also delivered smoking waiver for this establishment for 2016. Explained conditions required for obeying smoking waiver.,NY,"(43.068838, -76.103951)"
Bishop Ludden High School           ,"815 Fay ROAD,  Syracuse",03/22/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,815 Fay ROAD,Syracuse,13219    ,335600,GEDDES,Bishop Ludden High School,08/31/2016,,Syracuse Diocese Schools,McAuliffe,Mavourneed,466824,Inspection,,,NY,"(43.035102, -76.208613)"
St. James Church                    ,"4845 SOUTH Salina STREET,  Syracuse",04/29/2015,"Item 15B-   Lighting and ventilation inadequate, fixtures not shielded, dirty ventilation hoods, ductwork, filters, exhaust fans; ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,4845 SOUTH Salina STREET,Syracuse,13205    ,330100,SYRACUSE,St. James Church,01/31/2017,,St. James Church,,,293538,Inspection,,,NY,"(42.999352, -76.14282)"
Blarney Stone Inn (The)             ,"314  Avery AVENUE,  Syracuse",10/20/2015,"Item  1H-  Critical Violation [RED] Food from unapproved source, spoiled, adulterated on premises.; Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8E-   Accurate thermometers not available or used to evaluate refrigerated or heated storage temperatures; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11A-   Manual facilities inadequate, technique incorrect; mechanical facilities not operated in accordance with manufacturer's instructions; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,10,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,314  Avery AVENUE,Syracuse,13204    ,330100,SYRACUSE,Blarney Stone Inn (The),01/31/2017,,"The Blarney Stone Inn, LLC",Bruce,Matthew,795579,Inspection,,Gaskets for low cooler doors noted on order. This is a second inspection this year for this establishment.,NY,"(43.047685, -76.191328)"
O-C-M BOCES-Kasson Road Site        ,"4641 KASSON ROAD,  SYRACUSE",01/26/2016,No violations found.,0,0,0,Institutional Food Service - School K-12 Food Service,Onondaga County,ONONDAGA,4641 KASSON ROAD,SYRACUSE,13215    ,335300,DEWITT,O-C-M BOCES-Kasson Road Site,12/31/2017,,Marcellus Central School District,Grogan,Patricia,466934,Inspection,,Conditions appear satisfactory at this time.,NY,"(42.990316, -76.261245)"
Christian Life Assembly             ,"1025 NORTH Townsend STREET,  Syracuse",10/27/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); ",0,0,1,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,1025 NORTH Townsend STREET,Syracuse,13208    ,330100,SYRACUSE,Christian Life Assembly,01/31/2017,,Christian Life Assembly,,,702383,Inspection,,Kitchen 3 bay sink lacks cove corners.,NY,"(43.061325, -76.152193)"
Ernie's Lakeland Cafe               ,"779 State Fair BOULEVARD,  Syracuse",10/29/2015,"Item  8A-   Food not protected during storage, preparation, display, transportation and service, from potential sources of contamination (e.g., food uncovered, mislabeled, stored on floor, missing or inadequate sneeze guards, food containers double stacked); Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions; Item 11D-   Non food contact surfaces of equipment not clean; ",0,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,779 State Fair BOULEVARD,Syracuse,13209    ,335600,GEDDES,Ernie's Lakeland Cafe,01/31/2017,,"JT's Inn, Inc.",Tuff,Ernest,294275,Inspection,,Establishment has probe/metal-stem type thermometer onsite.,NY,"(43.087488, -76.238064)"
PEACE Inc. Sr. Nutr. @ Providence Ho,"1700 WEST Onondaga  STREET,  Syracuse",12/03/2015,No violations found.,0,0,0,SOFA Food Service - SOFA Prep Site-State Office for the Aging,Onondaga County,ONONDAGA,1700 WEST Onondaga  STREET,Syracuse,13204    ,330100,SYRACUSE,PEACE Inc. Sr. Nutr. @ Providence House,01/31/2017,,"P.E.A.C.E., Inc. Senior Nutrition Program",O'Hara,Joseph,800864,Inspection,,At this time conditions satisfactory to operate.,NY,"(43.033711, -76.182666)"
Sakana-Ya & Namu                    ,"215 Walton STREET,  Syracuse",11/03/2015,No violations found.,0,0,0,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,215 Walton STREET,Syracuse,13202    ,330100,SYRACUSE,Sakana-Ya & Namu,01/31/2017,,Sau's Cafe LLC,Cheng,Sandy,809720,Re-Inspection,,Reinspection notes all violations noted on 10/15/15 have been corrected.  Stipulation agreement can be accepted.,NY,"(43.047927, -76.156256)"
Community Bakery                    ,"1006 Butternut STREET,  Syracuse",11/10/2015,"Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",0,0,1,Food Service Establishment - Bakery,Onondaga County,ONONDAGA,1006 Butternut STREET,Syracuse,13208    ,330100,SYRACUSE,Community Bakery,01/31/2017,,,Coglitore,Alfred,293104,Inspection,,,NY,"(43.064098, -76.143274)"
Food Bank of CNY Boys & Girls Club  ,"201 Hamilton STREET,  Syracuse",04/22/2015,No violations found.,0,0,0,Food Service Establishment - Food Service Establishment,Onondaga County,ONONDAGA,201 Hamilton STREET,Syracuse,13204    ,330100,SYRACUSE,Food Bank of CNY at Boys and Girls Club,01/31/2017,,Food Bank of Central New York,Hudson,Heather,717492,Inspection,,,NY,"(43.05166, -76.1833)"
Dunbar Center                       ,"1453 SOUTH State STREET,  Syracuse",08/05/2015,Item  5C-  Critical Violation [RED] Potentially hazardous foods are not stored under refrigeration except during necessary preparation or approved precooling procedures (room temperature storage).; ,1,0,0,SED Summer Feeding Prog. - SED Satellite Feeding Site,Onondaga County,ONONDAGA,1453 SOUTH State STREET,Syracuse,13204    ,330100,SYRACUSE,Dunbar Center,08/21/2015,,Syracuse City School District,Marchbanks,Annette,708688,Inspection,,Reminder to keep items containing meat or dairy under refrigeration until just prior to serving.,NY,"(43.032195, -76.146272)"
Soup R Salads                       ,"308 SOUTH Warren STREET,  Syracuse",08/07/2015,"Item  5A-  Critical Violation [RED] Potentially hazardous foods are not kept at or below 45oF during cold holding, except smoked fish not kept at or below 38oF during cold holding.; Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces; ",1,0,4,Food Service Establishment - Restaurant,Onondaga County,ONONDAGA,308 SOUTH Warren STREET,Syracuse,13202    ,330100,SYRACUSE,Soup R Salads,01/31/2017,,,Hassett,Cheryl,795802,Inspection,,,NY,"(43.04847, -76.150831)"
